id,version,:START_ID,:END_ID,rank,value,:TYPE
17996,0,17994,17935,0,,RELATIONSHIP
17999,0,17997,17935,0,,RELATIONSHIP
18002,0,18000,17935,0,,RELATIONSHIP
18005,0,18003,17935,0,,RELATIONSHIP
18008,0,18006,17935,0,,RELATIONSHIP
18846,0,18844,18842,0,,RELATIONSHIP
18012,0,17935,17933,0,,RELATIONSHIP
18020,0,18018,18016,0,,RELATIONSHIP
18023,0,18021,18016,0,,RELATIONSHIP
18026,0,18024,18016,0,,RELATIONSHIP
18029,0,18027,18016,0,,RELATIONSHIP
18032,0,18030,18016,0,,RELATIONSHIP
18035,0,18033,18016,0,,RELATIONSHIP
18036,0,18016,18014,0,,RELATIONSHIP
18044,0,18042,18040,0,,RELATIONSHIP
18047,0,18045,18040,0,,RELATIONSHIP
18050,0,18048,18040,0,,RELATIONSHIP
18053,0,18051,18040,0,,RELATIONSHIP
18056,0,18054,18040,0,,RELATIONSHIP
18847,0,18842,18840,0,,RELATIONSHIP
18060,0,18040,18038,0,,RELATIONSHIP
18068,0,18066,18064,0,,RELATIONSHIP
18071,0,18069,18064,0,,RELATIONSHIP
18075,0,18064,18062,0,,RELATIONSHIP
18127,0,18125,18117,0,,RELATIONSHIP
18130,0,18128,18117,0,,RELATIONSHIP
18133,0,18131,18117,0,,RELATIONSHIP
18142,0,18140,18138,0,,RELATIONSHIP
18145,0,18143,18138,0,,RELATIONSHIP
18148,0,18146,18138,0,,RELATIONSHIP
18151,0,18149,18138,0,,RELATIONSHIP
18155,0,18138,18136,0,,RELATIONSHIP
18163,0,18161,18159,0,,RELATIONSHIP
18166,0,18164,18159,0,,RELATIONSHIP
18169,0,18167,18159,0,,RELATIONSHIP
18172,0,18170,18159,0,,RELATIONSHIP
18176,0,18159,18157,0,,RELATIONSHIP
18199,0,18197,18195,0,,RELATIONSHIP
18202,0,18200,18195,0,,RELATIONSHIP
18205,0,18203,18195,0,,RELATIONSHIP
18211,0,18209,18195,0,,RELATIONSHIP
18212,0,18195,18115,0,,RELATIONSHIP
18223,0,18117,18221,0,,RELATIONSHIP
18231,0,18229,18227,0,,RELATIONSHIP
18234,0,18232,18227,0,,RELATIONSHIP
18237,0,18235,18227,0,,RELATIONSHIP
18240,0,18238,18227,0,,RELATIONSHIP
18244,0,18227,18225,0,,RELATIONSHIP
18252,0,18250,18248,0,,RELATIONSHIP
18253,0,18248,18246,0,,RELATIONSHIP
18321,0,18319,18317,0,,RELATIONSHIP
18322,0,18317,18315,0,,RELATIONSHIP
18388,0,18386,18384,0,,RELATIONSHIP
18389,0,18384,18382,0,,RELATIONSHIP
18410,0,18408,18406,0,,RELATIONSHIP
18411,0,18406,18404,0,,RELATIONSHIP
18421,0,18419,18417,0,,RELATIONSHIP
18422,0,18417,18415,0,,RELATIONSHIP
18580,0,18578,18576,0,,RELATIONSHIP
18581,0,18576,18574,0,,RELATIONSHIP
18600,0,18598,18593,0,,RELATIONSHIP
18601,0,18593,18591,0,,RELATIONSHIP
19271,0,19269,19267,0,,RELATIONSHIP
19274,0,19272,19267,0,,RELATIONSHIP
19275,0,19267,19265,0,,RELATIONSHIP
19315,0,19313,19311,0,,RELATIONSHIP
19316,0,19311,19309,0,,RELATIONSHIP
19344,0,19342,19340,0,,RELATIONSHIP
19345,0,19340,19338,0,,RELATIONSHIP
